ཕྱ,ch+,sh,ch,ch,tch’
ཕྲ,thr+,tr+,tr,tr,tr’
འཕ,~ph+,[']ph,p,p,p’
འཕྱ,~ch+,[']sh,ch,ch,tch’
འཕྲ,~thr+,[']tr+,tr,tr,tr’
བ,ph-,w,b,b,b
བྱ,ch-,sh,j,j,dj
བྲ,thr-,tr,dr,dr,dr
བླ,l+,l,l,l,l
དབ*,+,R,-,-,-
དབྱ,y+,[r]y,y,y,y
དབྲ,r+,,r,r,r
འབ*,~p-,[']b,b,b,b
འབྱ,~c-,[']j,j,j,dj
འབྲ,~tr-,,dr,dr,dr
རྦ,p-,[r]b,b,b,b
ལྦ,p-,[l]b,b,b,b
སྦ,p-,[s]p,b,b,b
སྦྱ,c-,[s]j,j,j,dj
སྦྲ,tr-,[s]dr,dr,dr,dr
མ,m-,m,m,m,m
མྱ,ny-,ny,ny,ny,ny
དམ*,m+,[r]m,m,m,m
དམྱ,ny+,[r]ny,ny,ny,ny
རྨ,m+,[r]m,m,m,m
རྨྱ,ny+,[r]ny,ny,ny,ny
སྨ,m+,[s]m,m,m,m
སྨྱ,ny+,[s]ny,ny,ny,ny
ཙ,ts+,ts,ts,ts,ts
གཙ,ts+,[r],ts,ts,ts
བཙ,ts+,[b]ts,ts,ts,ts
རྩ,ts+,[r]ts,ts,ts,ts
སྩ,ts+,[s]ts,ts,ts,ts
བརྩ,ts+,[b]ts,ts,ts,ts
བསྩ,ts+,[b]ts,ts,ts,ts
ཚ,tsh+,ts+,ts,tsh,ts’
མཚ,~tsh+,[m]ts+,ts,tsh,ts’
འཚ,~tsh+,[']ts+,ts,tsh,ts’
ཛ,tsh-,ts,dz,dz,dz
མཛ,~ts-,[m]ts,dz,dz,dz
འཛ,~ts-,[']ts,dz,dz,dz
རྫ,ts-,[r]dz,dz,dz,dz
བརྫ,ts-,[b]dz,dz,dz,dz
ཝ,w-,Rw,w,w,w
ཞ,sh-,sh,zh,zh,j
གཞ,sh-,[r]sh,zh,zh,j
བཞ,sh-,[b]sh,zh,zh,j
ཟ,s-,s,z,z,z
ཟླ,~t-,d,d,d,d
གཟ,s-,[r]z,z,z,z
བཟ,s-,[b]z,z,z,z
བཟླ,t-,[b]d,d,d,d
འ,-,_,-,-,-
ཡ,y-,y,y,y,y
གཡ,y+,[r]y,y,y,y
ར,r-,r,r,r,r
རླ,l+,[r]l,l,l,l
བརླ,l+,[r]l,l,l,l
ལ,l-,l,l,l,l
ཤ,sh+,x,sh,sh,sh
གཤ,sh+,[r]x,sh,sh,sh
བཤ,sh+,[b]x,sh,sh,sh
ས,s+,s+,s,s,s
སྲ,s+,sr,s,s,s
སླ,l+,l+,l,l,l
གས*,s+,[r]s+,s,s,s
བས*,s+,[b]s+,s,s,s
བསྲ,s+,[b]sr,s,s,s
བསླ,l+,[b]l+,l,l,l
ཧ,h+,h,h,h,h
ཧྲ,rh+,sr,hr,hr,hr
ལྷ,lh+,l+,lh,lh,l’
ཨ,+,_,-,-,-
བགླ,l+,l,l,l,l
མྲ,m+,m,m,m,m
སྨྲ,m+,m,m,m,mr
ཏྲ,tr+,tr,tr,tr,tr
བརྟ,t+,[b]t,t,t,t
ཐྲ,thr+,tr+,tr,tr,tr’
སྣྲ,n+,[b]n,n,n,n
